LGEQ01000094.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_1492, whole genome shotgun sequence
LGEQ01000035.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_133, whole genome shotgun sequence
LGEQ01000001.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_5, whole genome shotgun sequence
LGEQ01000042.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_198, whole genome shotgun sequence
LGEQ01000020.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_72, whole genome shotgun sequence
LGEQ01000030.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_112, whole genome shotgun sequence
LGEQ01000005.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_15, whole genome shotgun sequence
LGEQ01000018.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_63, whole genome shotgun sequence
LGEQ01000009.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_41, whole genome shotgun sequence
LGEQ01000090.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_1132, whole genome shotgun sequence
LGEQ01000096.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_1752, whole genome shotgun sequence
LGEQ01000066.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_493, whole genome shotgun sequence
LGEQ01000019.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_66, whole genome shotgun sequence
LGEQ01000047.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_239, whole genome shotgun sequence
LGEQ01000046.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_231, whole genome shotgun sequence
LGEQ01000062.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_420, whole genome shotgun sequence
LGEQ01000081.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_710, whole genome shotgun sequence
LGEQ01000075.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_614, whole genome shotgun sequence
LGEQ01000045.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_229, whole genome shotgun sequence
LGEQ01000029.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_105, whole genome shotgun sequence
LGEQ01000070.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_564, whole genome shotgun sequence
LGEQ01000022.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_79, whole genome shotgun sequence
LGEQ01000050.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_272, whole genome shotgun sequence
LGEQ01000024.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_86, whole genome shotgun sequence
LGEQ01000006.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_31, whole genome shotgun sequence
LGEQ01000023.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_84, whole genome shotgun sequence
LGEQ01000063.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_454, whole genome shotgun sequence
LGEQ01000013.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_48, whole genome shotgun sequence
LGEQ01000057.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_363, whole genome shotgun sequence
LGEQ01000039.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_179, whole genome shotgun sequence
LGEQ01000033.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_131, whole genome shotgun sequence
LGEQ01000097.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_1763, whole genome shotgun sequence
LGEQ01000011.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_44, whole genome shotgun sequence
LGEQ01000038.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_175, whole genome shotgun sequence
LGEQ01000071.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_565, whole genome shotgun sequence
LGEQ01000065.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_489, whole genome shotgun sequence
LGEQ01000082.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_736, whole genome shotgun sequence
LGEQ01000088.1 Archaeoglobus fulgidus isolate 49_95 PW_scaffold_1031, whole genome shotgun sequence
